Frequency	Channel A
(MHz)	(dBu)

0.88787079	-73.87187000
0.88882446	-93.44398000
0.88977814	-71.46901000
0.89073181	-71.41364000
0.89168549	-74.28348000
0.89263916	-79.47076000
0.89359283	-77.31363000
0.89454651	-70.79871000
0.89550018	-68.22758000
0.89645386	-69.09407000
0.89740753	-73.57677000
0.89836121	-75.17503000
0.89931488	-73.12282000
0.90026855	-74.06555000
0.90122223	-77.60487000
0.90217590	-74.30403000
0.90312958	-71.31694000
0.90408325	-73.11221000
0.90503693	-80.12627000
0.90599060	-76.68702000
0.90694427	-77.99259000
0.90789795	-82.52262000
0.90885162	-72.89542000
0.90980530	-69.62339000
0.91075897	-74.20068000
0.91171265	-92.51668000
0.91266632	-77.93228000
0.91362000	-74.65739000
0.91457367	-74.23849000
0.91552734	-71.80795000
0.91648102	-79.84927000
0.91743469	-72.55105000
0.91838837	-68.92509000
0.91934204	-72.33080000
0.92029572	-79.92050000
0.92124939	-80.98954000
0.92220306	-74.38396000
0.92315674	-74.30751000
0.92411041	-73.46057000
0.92506409	-74.30243000
0.92601776	-75.11840000
0.92697144	-71.48596000
0.92792511	-71.31637000
0.92887878	-89.48411000
0.92983246	-73.06341000
0.93078613	-74.34605000
0.93173981	-86.07352000
0.93269348	-83.63079000
0.93364716	-76.28076000
0.93460083	-92.23747000
0.93555450	-73.91617000
0.93650818	-76.32025000
0.93746185	-70.00610000
0.93841553	-72.17726000
0.93936920	-79.47052000
0.94032288	-73.88885000
0.94127655	-74.35190000
0.94223022	-76.33569000
0.94318390	-75.42956000
0.94413757	-75.36246000
0.94509125	-74.39683000
0.94604492	-79.10500000
0.94699860	-82.88636000
0.94795227	-76.14407000
0.94890594	-74.91706000
0.94985962	-71.70322000
0.95081329	-71.99928000
0.95176697	-73.16870000
0.95272064	-73.74069000
0.95367432	-77.46444000
0.95462799	-94.97546000
0.95558167	-78.59181000
0.95653534	-73.03445000
0.95748901	-75.56106000
0.95844269	-85.33215000
0.95939636	-83.61401000
0.96035004	-80.55801000
0.96130371	-75.86016000
0.96225739	-71.38628000
0.96321106	-70.16580000
0.96416473	-71.44035000
0.96511841	-71.59566000
0.96607208	-71.39502000
0.96702576	-70.41690000
0.96797943	-71.94698000
0.96893311	-73.19924000
0.96988678	-69.28016000
0.97084045	-66.95856000
0.97179413	-67.76622000
0.97274780	-70.75716000
0.97370148	-74.28314000
0.97465515	-79.50771000
0.97560883	-80.91344000
0.97656250	-82.32407000
0.97751617	-69.24751000
0.97846985	-65.51331000
0.97942352	-65.42890000
0.98037720	-68.83022000
0.98133087	-71.92897000
0.98228455	-76.00694000
0.98323822	-86.49197000
0.98419189	-99.23936000
0.98514557	-80.65208000
0.98609924	-73.96410000
0.98705292	-72.34564000
0.98800659	-74.87739000
0.98896027	-81.04089000
0.98991394	-72.48193000
0.99086761	-76.03042000
0.99182129	-74.62544000
0.99277496	-76.21443000
0.99372864	-73.77315000
0.99468231	-73.56295000
0.99563599	-85.62656000
0.99658966	-77.49850000
0.99754333	-76.57787000
0.99849701	-83.94594000
0.99945068	-74.28170000
1.00040436	-71.39754000
1.00135803	-70.35426000
1.00231171	-70.80894000
1.00326538	-72.90128000
1.00421906	-75.82571000
1.00517273	-77.33768000
1.00612640	-71.46133000
1.00708008	-68.57430000
1.00803375	-67.13582000
1.00898743	-69.66385000
1.00994110	-75.49065000
1.01089478	-81.22147000
1.01184845	-82.24647000
1.01280212	-89.29085000
1.01375580	-77.29587000
1.01470947	-69.54478000
1.01566315	-70.01819000
